Date,Day,Week,Prework, Typeset,Quiz,Exam,Other
2025/09/01,M,1,,,,,syllabus
2025/09/03,W,1,1—4,,,,
2025/09/05,F,1,5—11,,Syllabus,,
2025/09/08,M,2,12—16,,,,
2025/09/10,W,2,17—22,Typeset 1,,,
2025/09/12,F,2,23—28,,1—22,,
2025/09/15,M,3,29—34,,,,
2025/09/17,W,3,35—39,Typeset 2,,,
2025/09/19,F,3,40—44,,23—39,,
2025/09/22,M,4,45—48,,,,
2025/09/24,W,4,49—53,Typeset 3,,,
2025/09/26,F,4,,,40—53,,Review
2025/09/29,M,5,,,,1—53,
2025/10/01,W,5,54—59,Typeset 4,,,
2025/10/03,F,5,60—63, ,54—59,,
2025/10/06,M,6,64—68,,,,
2025/10/08,W,6,69—72,Typeset 5,,,
2025/10/10,F,6,73—77,,60—72,,
2025/10/13,M,7,,,,,Fall Break
2025/10/15,W,7,78—81,Typeset 6,,,
2025/10/17,F,7,82—85,,73—81,,
2025/10/20,M,8,86—90,,,,
2025/10/22,W,8,91—95,Typeset 7,,,
2025/10/24,F,8,,,82—95,,Review
2025/10/27,M,9,,,,1—90,
2025/10/29,W,9,96—101,Typeset 8,,,
2025/10/31,F,9,102—106,,96—101,,
2025/11/03,M,10,107—111, ,,,
2025/11/05,W,10,112—116,Typeset 9,,,
2025/11/07,F,10,117—121,,102—116,,
2025/11/10,M,11,122—127,,,,
2025/11/12,W,11,128—133,Typeset 10,,,
2025/11/14,F,11,134—139,,117—133,,
2025/11/17,M,12,140—145,,,,
2025/11/19,W,12,146—150,Typeset 11,,,
2025/11/21,F,12,,,134—150,,Review
2025/11/24,M,13,,,,1—150,
2025/11/26,W,13,,,,,Thanksgiving Break
2025/11/28,F,13,,,,,Thanksgiving Break
2025/12/01,M,14,151—156,,,,
2025/12/03,W,14,157—162,Typeset 12,,,
2025/12/05,F,14,163—166,, 151—162,,
2025/12/08,M,15,167—171,,,,
2025/12/10,W,15,,Typeset 13,,,Review
2025/12/12,F,15,,,163—171,,Review
2025/12/18,R,16,,,,1—171,
